StringID       Type          x          y  stock-at-call-time  call-time   Due-Date  Service-Time
        D0          d        0.0        0.0                 0.0            350.0       1236.0            0.0
        S0          f        0.0        8.8                 0.0              0.0       1000.0              0.0
        S1          f       33.0       88.0                 0.0              0.0       1236.0            0.0
        S2          f       33.0        8.8                 0.0              0.0       1236.0              0.0
        C1         c        5.5        8.8               30.0              0.0        660.0              15.0      
        C2         c        49.5       88.0              30.0              14.0       674.0              15.0      
        C3         c        22.0       52.8              30.0              18.0       678.0              15.0      
        C4         c        5.5        26.4              30.0              21.0       681.0              15.0      
        C5         c        55.0       88.0              30.0              23.0       683.0              15.0      
        C6         c        27.5       52.8              30.0              36.0       696.0              15.0      
        C7         c        44.0       52.8              30.0              50.0       710.0              15.0      
        C8         c        33.0       52.8              30.0              56.0       716.0              15.0      
        C9         c        16.5       79.2              30.0              65.0       725.0              15.0      
        C10        c        22.0       26.4              30.0              70.0       730.0              15.0      
        C11        c        55.0       70.4              30.0              71.0       731.0              15.0      
        C12        c        5.5        44.0              30.0              80.0       740.0              15.0      
        C13        c        5.5        52.8              30.0              90.0       750.0              15.0      
        C14        c        49.5       8.8               30.0              90.0       750.0              15.0      
        C15        c        16.5       61.6              30.0              97.0       757.0              15.0      
        C16        c        27.5       61.6              30.0              99.0       759.0              15.0      
        C17        c        22.0       8.8               30.0              106.0      766.0              15.0      
        C18        c        55.0       79.2              30.0              120.0      780.0              15.0      
        C19        c        38.5       88.0              30.0              128.0      788.0              15.0      
        C20        c        5.5        88.0              30.0              130.0      790.0              15.0      
        C21        c        5.5        61.6              30.0              136.0      796.0              15.0      
        C22        c        33.0       17.6              30.0              140.0      800.0              15.0      
        C23        c        33.0       26.4              30.0              155.0      815.0              15.0      
        C24        c        5.5        35.2              30.0              156.0      816.0              15.0      
        C25        c        16.5       17.6              30.0              160.0      820.0              15.0      
        C26        c        5.5        17.6              30.0              167.0      827.0              15.0      
        C27        c        55.0       52.8              30.0              174.0      834.0              15.0      
        C28        c        38.5       52.8              30.0              182.0      842.0              15.0      
        C29        c        55.0       17.6              30.0              190.0      850.0              15.0      
        C30        c        22.0       44.0              30.0              205.0      865.0              15.0      
        C31        c        33.0       35.2              30.0              206.0      866.0              15.0      
        C32        c        49.5       35.2              30.0              214.0      874.0              15.0      
        C33        c        44.0       44.0              30.0              220.0      880.0              15.0      
        C34        c        11.0       8.8               30.0              230.0      890.0              15.0      
        C35        c        38.5       44.0              30.0              235.0      895.0              15.0      
        C36        c        27.5       17.6              30.0              250.0      910.0              15.0      
        C37        c        44.0       8.8               30.0              256.0      916.0              15.0      
        C38        c        16.5       26.4              30.0              256.0      916.0              15.0      
        C39        c        11.0       26.4              30.0              263.0      923.0              15.0      
        C40        c        33.0       61.6              30.0              269.0      929.0              15.0      
        C41        c        49.5       70.4              30.0              280.0      940.0              15.0      
        C42        c        11.0       44.0              30.0              292.0      952.0              15.0      
        C43        c        33.0       88.0              30.0              307.0      967.0              15.0      
        C44        c        11.0       88.0              30.0              310.0      970.0              15.0      
        C45        c        49.5       79.2              30.0              315.0      975.0              15.0      
        C46        c        16.5       8.8               30.0              327.0      987.0              15.0      
        C47        c        16.5       70.4              30.0              335.0      995.0              15.0      
        C48        c        27.5       26.4              30.0              340.0      1000.0             15.0      
        C49        c        38.5       8.8               30.0              348.0      1008.0             15.0      
        C50        c        55.0       26.4              30.0              355.0      1015.0             15.0      

Q Vehicle fuel tank capacity /1500/
e Vehicle now fuel tank capacity /700/
C Vehicle load capacity /250.0/
r fuel consumption rate /1.0/
g inverse refueling rate /0.1/
v average Velocity /1.0/
